year,% labor force employed,Capital stock ($ mill.),Col. I x Col. 2,Share of property in income,Priv. nonfarm GNP per manhour ($),Employed capital per manhour ($),△A/A,A(t)
1909,91.1,146142,133135,0.335,0.623,2.06,-0.017,1.000
1910,92.8,150038,139235,0.330,0.616,2.10,0.039,0.983
1911,90.6,156335,141640,0.335,0.647,2.17,0.002,1.021
1912,93.0,159971,148773,0.330,0.652,2.21,0.040,1.023
1913,91.8,164504,151015,0.334,0.680,2.23,0.007,1.064
1914,83.6,171513,143385,0.325,0.682,2.20,-0.028,1.071
1915,84.5,175371,148188,0.344,0.669,2.26,0.034,1.041
1916,93.7,178351,167115,0.358,0.700,2.34,-0.010,1.076
1917,94.0,182263,171327,0.370,0.679,2.21,0.072,1.065
1918,94.5,186679,176412,0.342,0.729,2.22,0.013,1.142
1919,93.1,189977,176869,0.354,0.767,2.47,-0.076,1.157
1920,92.8,194802,180776,0.319,0.721,2.58,0.072,1.069
1921,76.9,201491,154947,0.369,0.770,2.55,0.032,1.146
1922,81.7,204324,166933,0.339,0.788,2.49,0.011,1.183
1923,92.1,209964,193377,0.337,0.809,2.61,0.016,1.196
1924,88.0,222113,195460,0.330,0.836,2.74,0.032,1.215
1925,91.1,231772,211198,0.336,0.872,2.81,-0.010,1.254
1926,92.5,244611,226266,0.327,0.869,2.87,-0.005,1.241
1927,90.0,259142,233228,0.323,0.871,2.93,-0.007,1.235
1928,90.0,271089,243980,0.338,0.874,3.02,0.020,1.226
1929,92.5,279691,258714,0.332,0.895,3.06,-0.043,1.251
1930,88.1,289291,254865,0.347,0.880,3.30,0.024,1.197
1931,78.2,289056,226042,0.325,0.904,3.33,0.023,1.226
1932,67.9,282731,191974,0.397,0.879,3.28,0.011,1.198
1933,66.5,270676,180000,0.362,0.869,3.10,0.072,1.211
1934,70.9,262370,186020,0.355,0.921,3.00,0.039,1.298
1935,73.0,257810,188201,0.351,0.943,2.87,0.059,1.349
1936,77.3,254875,197018,0.357,0.982,2.72,-0.010,1.429
1937,81.0,257076,208232,0.340,0.971,2.71,0.021,1.415
1938,74.7,259789,194062,0.331,1.000,2.78,0.048,1.445
1939,77.2,257314,198646,0.347,1.034,2.66,0.050,1.514
1940,80.6,258048,207987,0.357,1.082,2.63,0.044,1.590
1941,86.8,262940,228232,0.377,1.122,2.58,0.003,1.660
1942,93.6,270063,252779,0.356,1.136,2.64,0.016,1.665
1943,97.4,269761,262747,0.342,1.180,2.62,0.071,1.692
1944,98.4,265483,261235,0.332,1.265,2.63,0.021,1.812
1945,96.5,261472,252320,0.314,1.296,2.66,-0.044,1.850
1946,94.8,258051,244632,0.312,1.215,2.50,-0.017,1.769
1947,95.4,268845,256478,0.327,1.194,2.50,0.016,1.739
1948,95.7,276476,264588,0.332,1.221,2.55,0.024,1.767
1949,93.0,289360,269105,0.326,1.275,2.70,,1.809
